Date,Price,Open,High,Low,Vol.,Change %
01/06/2001,1224.38,1255.82,1286.62,1203.03,-,-0.025
01/05/2001,1255.82,1249.46,1315.93,1232,-,0.0051
01/04/2001,1249.46,1160.33,1269.3,1091.99,-,0.0768
01/03/2001,1160.33,1239.94,1267.42,1081.19,-,-0.0642
01/02/2001,1239.94,1366.01,1376.38,1215.44,-,-0.0923
01/01/2001,1366.01,1320.28,1383.37,1274.62,-,0.0346
01/12/2000,1320.28,1314.95,1389.05,1254.07,-,0.0041
01/11/2000,1314.95,1429.4,1438.46,1294.9,-,-0.0801
01/10/2000,1429.4,1436.52,1454.82,1305.79,-,-0.0049
01/09/2000,1436.51,1517.68,1530.09,1419.44,-,-0.0535
01/08/2000,1517.68,1430.83,1525.21,1425.43,-,0.0607
01/07/2000,1430.83,1454.6,1517.32,1413.89,-,-0.0163
01/06/2000,1454.6,1420.6,1488.93,1420.6,-,0.0239
01/05/2000,1420.6,1452.43,1481.51,1361.09,-,-0.0219
01/04/2000,1452.43,1498.58,1527.19,1339.4,-,-0.0308
01/03/2000,1498.58,1366.42,1552.87,1346.62,-,0.0967
01/02/2000,1366.42,1394.46,1444.55,1325.07,-,-0.0201
01/01/2000,1394.46,1469.25,1478,1350.14,-,-0.0509
01/12/1999,1469.25,1388.91,1473.1,1387.38,-,0.0578
01/11/1999,1388.91,1362.93,1425.31,1346.41,-,0.0191
01/10/1999,1362.93,1282.71,1373.17,1233.7,-,0.0625
01/09/1999,1282.71,1320.41,1361.39,1256.26,-,-0.0286
01/08/1999,1320.41,1328.72,1382.84,1267.73,-,-0.0063
01/07/1999,1328.72,1372.71,1420.33,1328.49,-,-0.032
01/06/1999,1372.71,1301.84,1372.93,1277.47,-,0.0544
01/05/1999,1301.84,1335.18,1375.98,1277.31,-,-0.025
01/04/1999,1335.18,1286.37,1371.56,1282.56,-,0.0379
01/03/1999,1286.37,1238.33,1323.82,1216.03,-,0.0388
01/02/1999,1238.33,1279.64,1283.84,1211.89,-,-0.0323
01/01/1999,1279.64,1229.23,1280.37,1205.46,-,0.041
01/12/1998,1229.23,1163.63,1244.93,1136.89,-,0.0564
01/11/1998,1163.63,1098.67,1192.97,1098.67,-,0.0591
01/10/1998,1098.67,1017.01,1103.78,923.32,-,0.0803
01/09/1998,1017.01,957.28,1066.11,939.98,-,0.0624
01/08/1998,957.28,1120.67,1121.79,957.28,-,-0.1458
01/07/1998,1120.67,1133.84,1190.58,1114.3,-,-0.0116
01/06/1998,1133.84,1090.82,1145.15,1074.67,-,0.0394
01/05/1998,1090.82,1111.75,1130.52,1074.39,-,-0.0188
01/04/1998,1111.75,1101.75,1132.98,1076.7,-,0.0091
01/03/1998,1101.75,1049.34,1113.07,1030.87,-,0.0499
01/02/1998,1049.34,980.28,1051.66,980.28,-,0.0704
01/01/1998,980.28,970.43,992.65,912.83,-,0.0102
01/12/1997,970.43,955.4,986.25,924.92,-,0.0157
01/11/1997,955.4,914.62,964.55,900.61,-,0.0446
01/10/1997,914.62,947.28,983.12,855.27,-,-0.0345
01/09/1997,947.28,899.47,960.59,899.47,-,0.0532
01/08/1997,899.47,954.29,964.17,893.34,-,-0.0575
01/07/1997,954.31,885.14,957.73,884.54,-,0.0781
01/06/1997,885.14,848.28,902.09,838.82,-,0.0435
01/05/1997,848.28,801.34,851.87,793.21,-,0.0586
01/04/1997,801.34,757.12,804.13,733.54,-,0.0584
01/03/1997,757.12,790.82,814.9,756.13,-,-0.0426
01/02/1997,790.82,786.16,817.68,773.43,-,0.0059
01/01/1997,786.16,740.74,794.67,729.55,-,0.0613
01/12/1996,740.74,757.02,761.75,716.69,-,-0.0215
01/11/1996,757.02,705.27,762.12,701.3,-,0.0734
01/10/1996,705.27,687.31,714.1,684.44,-,0.0261
01/09/1996,687.33,651.99,690.88,643.97,-,0.0542
01/08/1996,651.99,639.95,670.68,639.49,-,0.0188
01/07/1996,639.95,670.63,675.88,605.88,-,-0.0457
01/06/1996,670.63,669.12,680.32,658.75,-,0.0023
01/05/1996,669.12,654.17,681.1,630.07,-,0.0229
01/04/1996,654.17,645.5,656.68,624.14,-,0.0134
01/03/1996,645.5,640.43,656.97,627.63,-,0.0079
01/02/1996,640.43,636.02,664.23,633.71,-,0.0069
01/01/1996,636.02,615.93,636.18,597.29,-,0.0326
01/12/1995,615.93,605.37,622.88,605.05,-,0.0174
01/11/1995,605.37,581.5,608.69,581.04,-,0.041
01/10/1995,581.5,584.41,590.66,571.55,-,-0.005
01/09/1995,584.41,561.88,587.61,561.01,-,0.0401
01/08/1995,561.88,562.06,565.62,553.04,-,-0.0003
01/07/1995,562.06,544.75,565.4,542.51,-,0.0318
01/06/1995,544.75,533.4,551.07,526,-,0.0213
01/05/1995,533.4,514.76,533.41,513.03,-,0.0363
01/04/1995,514.71,500.7,515.29,500.2,-,0.028
01/03/1995,500.71,487.39,508.15,479.7,-,0.0273
01/02/1995,487.39,470.42,489.19,469.29,-,0.0361
01/01/1995,470.42,459.21,471.36,457.2,-,0.0243
01/12/1994,459.27,453.55,462.73,442.88,-,0.0123
01/11/1994,453.69,472.26,472.26,444.18,-,-0.0395
01/10/1994,472.35,462.69,474.74,449.27,-,0.0208
01/09/1994,462.71,475.49,475.49,458.47,-,-0.0269
01/08/1994,475.49,458.28,477.59,456.08,-,0.0376
01/07/1994,458.26,444.27,459.33,443.58,-,0.0315
01/06/1994,444.27,456.5,463.23,439.83,-,-0.0268
01/05/1994,456.5,450.91,457.77,440.78,-,0.0124
01/04/1994,450.91,445.66,452.79,435.86,-,0.0115
01/03/1994,445.77,467.19,471.09,436.16,-,-0.0457
01/02/1994,467.14,481.6,482.23,464.26,-,-0.03
01/01/1994,481.61,466.51,482.85,464.36,-,0.0325
01/12/1993,466.45,461.93,471.29,461.45,-,0.0101
01/11/1993,461.79,467.83,469.11,454.36,-,-0.0129
01/10/1993,467.83,458.93,471.1,456.4,-,0.0194
01/09/1993,458.93,463.55,463.8,449.64,-,-0.01
01/08/1993,463.56,448.13,463.56,446.94,-,0.0344
01/07/1993,448.13,450.54,451.15,441.4,-,-0.0053
01/06/1993,450.53,450.23,455.63,442.5,-,0.0008
01/05/1993,450.19,440.19,454.55,436.86,-,0.0227
01/04/1993,440.19,451.67,452.63,432.3,-,-0.0254
01/03/1993,451.67,443.38,456.76,441.07,-,0.0187
01/02/1993,443.38,438.78,450.04,428.25,-,0.0105
01/01/1993,438.78,435.7,442.66,426.88,-,0.007
01/12/1992,435.71,431.35,442.65,428.61,-,0.0101
01/11/1992,431.35,418.66,431.93,415.58,-,0.0303
01/10/1992,418.68,417.8,421.16,396.8,-,0.0021
01/09/1992,417.8,414.03,425.27,412.71,-,0.0091
01/08/1992,414.03,424.19,425.14,408.3,-,-0.024
01/07/1992,424.21,408.2,424.8,407.2,-,0.0394
01/06/1992,408.14,415.35,417.3,399.92,-,-0.0174
01/05/1992,415.35,414.95,418.75,409.85,-,0.001
01/04/1992,414.95,403.67,416.28,392.41,-,0.0279
01/03/1992,403.69,412.68,413.78,401.94,-,-0.0218
01/02/1992,412.7,408.79,418.08,406.34,-,0.0096
01/01/1992,408.78,417.03,421.18,408.64,-,-0.0199
01/12/1991,417.09,375.11,418.32,371.36,-,0.1116
01/11/1991,375.22,392.46,398.22,371.63,-,-0.0439
01/10/1991,392.45,387.86,393.81,376.11,-,0.0118
01/09/1991,387.86,395.43,397.62,382.77,-,-0.0191
01/08/1991,395.43,387.81,396.82,374.09,-,0.0196
01/07/1991,387.81,371.18,387.81,370.92,-,0.0449
01/06/1991,371.16,389.81,389.81,367.98,-,-0.0479
01/05/1991,389.83,375.35,389.85,365.83,-,0.0386
01/04/1991,375.34,375.22,391.26,370.27,-,0.0003
01/03/1991,375.22,367.07,379.66,363.73,-,0.0222
01/02/1991,367.07,343.91,370.96,340.37,-,0.0673
01/01/1991,343.93,330.2,343.93,309.35,-,0.0415
01/12/1990,330.22,322.23,333.98,321.97,-,0.0248
01/11/1990,322.22,303.99,323.02,301.61,-,0.0599
01/10/1990,304,306.1,319.69,294.51,-,-0.0067
01/09/1990,306.05,322.56,326.53,295.98,-,-0.0512
01/08/1990,322.56,356.15,357.35,306.18,-,-0.0943
01/07/1990,356.15,358.02,369.78,350.09,-,-0.0052
01/06/1990,358.02,361.26,368.78,351.23,-,-0.0089
01/05/1990,361.23,330.8,362.26,330.8,-,0.092
01/04/1990,330.8,339.94,347.3,327.76,-,-0.0269
01/03/1990,339.94,331.89,344.49,331.08,-,0.0243
01/02/1990,331.89,329.08,336.09,322.1,-,0.0085
01/01/1990,329.08,353.4,360.59,319.83,-,-0.0688
01/12/1989,353.4,346.01,354.1,339.63,-,0.0214
01/11/1989,345.99,340.36,346.5,330.91,-,0.0165
01/10/1989,340.36,349.15,360.44,327.12,-,-0.0252
01/09/1989,349.15,351.45,354.13,341.37,-,-0.0065
01/08/1989,351.45,346.08,352.73,339,-,0.0155
01/07/1989,346.08,317.98,346.08,317.26,-,0.0884
01/06/1989,317.98,320.51,329.19,314.38,-,-0.0079
01/05/1989,320.52,309.64,323.06,304.06,-,0.0351
01/04/1989,309.64,294.87,310.45,294.35,-,0.0501
01/03/1989,294.87,288.86,299.99,286.46,-,0.0208
01/02/1989,288.86,297.47,300.57,286.26,-,-0.0289
01/01/1989,297.47,277.72,297.51,273.81,-,0.0711
